trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
59,False,"{'a': 0.5, 'e': 0.7477194593032545}",25,7,-99.59533750050467,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 2}",1
60,False,"{'a': 0.5, 'e': 0.7439808620067382}",20,2,-3.5055137057666723,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.7402609576967045}",30,0,-131.34232110726703,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.736559652908221}",30,0,-84.8715847029125,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.7328768546436798}",20,0,0.8423623288277803,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.7292124703704614}",20,14,-1.997666420093278,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.7255664080186092}",25,0,-59.62205297314429,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.7219385759785161}",25,0,-145.57556934006163,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
67,False,"{'a': 0.5, 'e': 0.7183288830986235}",20,13,11.47180631416067,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.7147372386831303}",20,7,-14.30612290029663,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.7111635524897147}",25,10,-48.33283333609526,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.7076077347272661}",25,4,-31.67764334391347,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.7040696960536298}",20,0,-93.63254080498601,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
72,False,"{'a': 0.5, 'e': 0.7005493475733616}",25,0,-34.12103654887834,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.6970466008354949}",20,0,-25.570541465622618,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.6935613678313174}",30,0,-44.864784185937985,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.6900935609921608}",20,10,-30.42488427054267,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.6866430931872}",30,10,-57.57472778345131,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",1
77,False,"{'a': 0.5, 'e': 0.683209877721264}",20,0,-42.38067755121044,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.6797938283326577}",20,0,-44.67203486947514,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.6763948591909944}",30,8,-101.6752745564089,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.6730128848950394}",25,0,-43.88710816577542,"{0: 20, 1: 0, 2: 3, 3: 2, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.6696478204705641}",20,0,-51.79391298957509,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.6662995813682113}",20,0,-36.917478878709254,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.6629680834613703}",30,0,-151.77297527029592,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
84,False,"{'a': 0.5, 'e': 0.6596532430440635}",25,10,-43.26131837508978,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.6563549768288431}",25,15,-6.013094875551828,"{0: 7, 1: 3, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.653073201944699}",20,12,13.501666652265403,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.6498078359349754}",35,1,-109.03374200139022,"{0: 25, 1: 1, 2: 4, 3: 3, 4: 1}",1
88,False,"{'a': 0.5, 'e': 0.6465587967553006}",20,0,-30.456959887610882,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.6433260027715241}",20,12,7.829153993951151,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.6401093727576664}",20,0,-22.110890275634265,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.6369088258938781}",20,0,-31.88648425689404,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.6337242817644086}",25,5,-172.08439301859386,"{0: 10, 1: 1, 2: 4, 3: 3, 4: 2}",1
93,False,"{'a': 0.5, 'e': 0.6305556603555866}",30,17,-54.121258802253614,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
94,False,"{'a': 0.5, 'e': 0.6274028820538087}",25,15,-21.849260510727355,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.6242658676435396}",20,0,-19.56129882119027,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.621144538305322}",20,2,-9.794445989262568,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.6180388156137954}",25,16,-27.751155751122962,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
98,False,"{'a': 0.5, 'e': 0.6149486215357264}",25,0,-89.97946269943795,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
99,False,"{'a': 0.5, 'e': 0.6118738784280477}",35,4,-124.12004921274551,"{0: 20, 1: 1, 2: 7, 3: 2, 4: 1}",1
100,False,"{'a': 0.5, 'e': 0.6088145090359075}",20,0,-64.95829546486095,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.6057704364907279}",25,5,-34.502084472108706,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.6027415843082743}",25,0,-76.05329635421168,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
103,False,"{'a': 0.5, 'e': 0.599727876386733}",25,0,-74.38544451990377,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
104,False,"{'a': 0.5, 'e': 0.5967292370047993}",25,0,-66.66747741360535,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
105,False,"{'a': 0.5, 'e': 0.5937455908197753}",20,9,-18.797370672258708,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
