trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
21,False,"{'a': 0.8, 'e': 0.3584859224085419}",20,6,-15.909509591809151,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
22,False,"{'a': 0.8, 'e': 0.34056162628811476}",25,11,-1.1083582191631054,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.8, 'e': 0.323533544973709}",20,14,-0.37952092234404056,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.8, 'e': 0.3073568677250236}",25,10,-23.19345868060415,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
25,False,"{'a': 0.8, 'e': 0.2919890243387724}",35,0,-79.36671586016405,"{0: 28, 1: 2, 2: 3, 3: 0, 4: 2}",0
26,False,"{'a': 0.8, 'e': 0.27738957312183377}",25,13,-3.4306870956973565,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
27,False,"{'a': 0.8, 'e': 0.26352009446574204}",25,2,-15.411153714469895,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 0}",1
28,False,"{'a': 0.8, 'e': 0.2503440897424549}",20,13,14.30551496338639,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.8, 'e': 0.23782688525533216}",25,7,5.762267733422929,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
30,False,"{'a': 0.8, 'e': 0.22593554099256555}",25,5,26.035891477923276,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.8, 'e': 0.21463876394293727}",20,14,9.222758491115822,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.8, 'e': 0.2039068257457904}",25,18,7.142386063912831,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.8, 'e': 0.19371148445850087}",25,0,-47.46513709980837,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",1
34,False,"{'a': 0.8, 'e': 0.1840259102355758}",20,13,15.28742867413547,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.8, 'e': 0.174824614723797}",25,13,24.563487254151607,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.8, 'e': 0.16608338398760716}",25,10,24.11488784046901,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.8, 'e': 0.1577792147882268}",30,2,0.9397568709163859,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 1}",1
38,False,"{'a': 0.8, 'e': 0.14989025404881545}",20,8,9.690236779431672,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
39,False,"{'a': 0.8, 'e': 0.14239574134637467}",20,4,-16.785607754003333,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
40,False,"{'a': 0.8, 'e': 0.13527595427905592}",25,20,9.198605825300469,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.8, 'e': 0.12851215656510312}",20,0,23.963569199920776,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
42,False,"{'a': 0.8, 'e': 0.12208654873684796}",30,10,12.764520016340974,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",1
43,False,"{'a': 0.8, 'e': 0.11598222130000556}",25,11,5.430304948639282,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
44,False,"{'a': 0.8, 'e': 0.11018311023500528}",20,13,17.168140015890263,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.8, 'e': 0.10467395472325501}",25,5,27.847334606146934,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.8, 'e': 0.09944025698709225}",30,13,30.15565743661814,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.8, 'e': 0.09446824413773763}",25,9,30.257007633638736,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.8, 'e': 0.08974483193085074}",20,7,23.84731358882932,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.8, 'e': 0.0852575903343082}",20,3,-49.27401045853766,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 1}",1
50,False,"{'a': 0.8, 'e': 0.0809947108175928}",20,16,9.557683937793904,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.8, 'e': 0.07694497527671315}",30,20,21.239335925798482,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.8, 'e': 0.07309772651287749}",20,10,15.671311908143378,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.8, 'e': 0.06944284018723361}",20,2,16.651877093643733,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.8, 'e': 0.06597069817787193}",30,20,10.296127961884467,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.8, 'e': 0.06267216326897833}",25,0,43.38329911148156,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
56,False,"{'a': 0.8, 'e': 0.05953855510552941}",20,6,29.424398719754738,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.8, 'e': 0.056561627350252934}",20,14,10.515247580972739,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.8, 'e': 0.053733545982740286}",20,8,3.2426677148850978,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
59,False,"{'a': 0.8, 'e': 0.051046868683603266}",20,0,28.550313187820095,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.8, 'e': 0.048494525249423104}",20,5,28.307403945355613,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,8,27.65131498005303,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,18,14.810523945895259,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",35,17,25.416975137466785,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,5,27.83627674962864,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,13,22.37316534059966,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,12,12.16050879047814,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,13,24.070376704044634,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,30.623557373320562,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,13,22.931549200427654,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,10,28.337430829946396,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
