trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
59,False,"{'a': 0.5, 'e': 0.4099999999999995}",25,15,4.992027682295804,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.39999999999999947}",20,6,-33.50177236737384,"{0: 11, 1: 0, 2: 1, 3: 2, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.38999999999999946}",25,0,-11.55986203824195,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.37999999999999945}",25,0,-48.18515771479089,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.36999999999999944}",20,3,-42.01528931372699,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
64,False,"{'a': 0.5, 'e': 0.35999999999999943}",30,18,-24.89397168355174,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
65,False,"{'a': 0.5, 'e': 0.3499999999999994}",20,0,-29.076413827075715,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.3399999999999994}",25,8,7.246596299534771,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.3299999999999994}",25,14,19.849889766226724,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.3199999999999994}",25,0,-53.58477319956013,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
69,False,"{'a': 0.5, 'e': 0.3099999999999994}",20,4,-27.347853121179572,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.2999999999999994}",25,4,6.177986244380435,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.28999999999999937}",25,8,-36.07069198380363,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 1}",1
72,False,"{'a': 0.5, 'e': 0.27999999999999936}",20,0,7.311594896236212,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.26999999999999935}",20,2,27.646071215942417,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.25999999999999934}",25,6,8.535677698229975,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.24999999999999933}",25,4,18.619436685965553,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.23999999999999932}",25,2,-3.174113374344129,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.22999999999999932}",25,13,-34.2108375518865,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
78,False,"{'a': 0.5, 'e': 0.2199999999999993}",25,7,21.976890903822095,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.2099999999999993}",20,11,-5.105976845088657,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.1999999999999993}",20,0,-16.91649823785371,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.18999999999999928}",25,11,24.168519418438738,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.17999999999999927}",30,23,13.631374166840596,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.16999999999999926}",30,10,-5.313186405414894,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.15999999999999925}",20,0,34.05729558730274,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.14999999999999925}",20,0,26.6560521178883,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.13999999999999924}",20,8,-3.834889668724607,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.12999999999999923}",25,16,17.047441103024525,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.11999999999999923}",20,0,-2.6623320537831368,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.10999999999999924}",20,16,8.077706564123734,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.09999999999999924}",30,8,19.462474746092546,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.08999999999999925}",20,10,17.078917125355893,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.07999999999999925}",20,0,21.85203893519596,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.06999999999999926}",20,13,12.2474259865286,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
